Geneid,PD_131_R16_S1_1,PD_131_R5_S1_1,PD_131_R6_S1_1,PD_131_R7_S1_1,PD_131_R8_S1_1,PD_131_R8_S2_1,PD_131_R9_S1_1,PD_131_R9_S2_1,PD_132_R10_S1_1,PD_132_R10_S2_1,PD_132_R11_S1_1,PD_132_R11_S2_1,PD_132_R12_S1_1,PD_132_R12_S2_1,PD_132_R13_S1_1,PD_132_R13_S2_1,PD_132_R5_S1_1,PD_132_R6_S1_1,PD_132_R7_S1_1,PD_132_R8_S1_1,PD_132_R8_S2_1,PD_132_R9_S1_1,PD_132_R9_S2_1
b3920,4.185669020884117,5.260736245718045,4.992354412453484,5.034371140444303,6.090480150901636,3.5471540170008224,6.0480064227705705,3.8834747082622227,6.373802031083651,2.0142402293885184,2.7810418566415636,2.1369407083964527,2.3123585776348192,3.359730452974061,1.5600029384403549,2.696537924351291,5.540344617356541,5.530043871841056,5.351156190272752,6.583278685016673,3.391385110726929,6.514612496524222,2.72605869920681
b3921,6.266246614809653,6.96457075001021,6.730498012113069,6.83293398835813,7.063432490472367,7.118294211255793,7.118560558883392,7.204815795110949,6.224027384079853,5.513005976957838,5.43425675773026,5.247476538509639,4.964599069206151,5.719321484243255,5.349302040211323,5.211493351087547,5.8418299579638004,6.01551129695198,5.952107366904704,6.240903088996848,5.954364110008088,6.039668303978807,5.55831448018543
b3922,8.304124662442506,8.46722871898259,8.368484536686239,8.36069113531819,8.503654557410929,8.422347779499818,8.469053382925875,8.601593122818949,7.262631906458887,7.335345579231595,5.634187303749881,5.128575442148056,5.166277996382847,4.649056177375819,4.718694666447055,5.427340457718953,7.393476390350683,7.420150354457738,7.421785655216667,7.493128515054041,7.442095335271707,7.4149665899343065,7.408498394391411
b3923,8.173620570857574,8.725894326956315,8.560646620245135,8.595953088287471,8.589385086989994,8.854338852606647,8.608658467265789,8.806658232639073,7.302086941323922,7.7725879963164095,5.081452968170864,5.490692440991305,5.980472018118176,5.6875935115139145,6.34685924512541,6.020101073815659,7.468936683224486,7.5155228534980605,7.528476156412749,7.477812545031946,7.683175582342743,7.366080951785843,7.848520119504811
b3924,8.585676369949358,7.451201291007129,7.3468665713922885,7.402094568090862,7.379719167261848,6.612663751040321,7.359936105710325,6.7354704880604785,9.087202816975779,8.048121145303085,6.2442894786268495,6.603128844534009,6.805850427913213,6.588859218065485,6.4442740828095895,6.707136705842042,8.618511363706839,8.733599366689107,8.786830621979846,9.123093173370638,8.316596342620233,8.924293439316436,8.067645051902776
b3925,5.364394922011819,5.735161186125512,5.6296820490645345,5.581938269653311,5.955607296314604,5.642920444653134,5.686173145429676,5.673106995917257,6.01596550926833,6.06144184467446,5.469979349975349,5.844737104493464,5.857317330313653,5.876209191202774,5.597312281289706,6.057792563042545,6.1204021807743825,6.052471303659119,6.05035622416032,6.373480298694822,6.223440328285943,6.143587946730783,6.130210805463175
b3926,4.666598748722288,5.786243310174471,5.693000197901281,5.645481589589785,5.813784828515174,5.959571910936588,5.753137852684884,5.952588148618805,7.7467193772973575,7.483729944444772,4.825649832897226,5.063026182995206,5.024420616243579,4.911898598665852,4.773054863878079,4.820114081067713,7.205420383663634,7.072328289707687,7.328171390599804,7.98730274365216,7.664075409706133,7.874298428947931,7.776195580256577
b3927,5.080060440890808,5.938698322353579,5.8030423323992135,5.929210894027231,6.033848951285296,6.334887929682192,5.930841864583442,6.29052265069303,7.727124810595585,7.617030032320584,5.454376438559361,5.848949970033703,5.558890424960039,5.652042322418186,5.917042521115998,5.809508625488815,7.351752504181298,7.23426647079152,7.424711049899207,8.08948771349825,8.088382118440348,7.899732646517091,7.940686906150481
b3928,11.038531883580166,10.165422893766797,10.187325611625356,10.146039728597136,10.207361726861727,10.086769904216279,10.255558994707096,10.10720642494087,10.676148976371085,10.13055170627508,9.64967322286528,9.86963710690049,9.594516497001694,9.792580701714956,9.52212751714128,9.790785823943699,10.4548543141089,10.701786477573977,10.543444863148304,10.516283123268375,10.314577597569782,10.496764542153802,10.201056680173348
b3929,9.20259147898287,9.326181721428048,9.403334613127496,9.489808708353882,9.108581487107836,9.468593701188668,9.380457526600049,9.307371496538474,9.612730605599666,9.22563695327438,6.969318254636704,7.3351626711443085,7.2740781547067614,7.505686374739515,7.393947469859953,7.238729279804241,9.546334714888799,9.59222462193404,9.467788429347658,9.568539137192861,9.252529086862902,9.445100873123947,9.038905327615549
